|ha|outdoors|dome|grass|temp|wind|spread|ou|implied|points-per-game_currseason|points-per-game_lastseason|red-zone-scoring-attempts-per-game_currseason|red-zone-scoring-attempts-per-game_lastseason|opponent-red-zone-scoring-attempts-per-game_currseason|opponent-red-zone-scoring-attempts-per-game_lastseason|opponent-points-per-game_currseason|opponent-points-per-game_lastseason|yards-per-game_currseason|yards-per-game_lastseason|opponent-yards-per-game_currseason|opponent-yards-per-game_lastseason|first-downs-per-game_currseason|first-downs-per-game_lastseason|third-downs-per-game_currseason|third-downs-per-game_lastseason|opponent-third-downs-per-game_currseason|opponent-third-downs-per-game_lastseason|third-down-conversions-per-game_currseason|third-down-conversions-per-game_lastseason|opponent-third-downs-per-game_currseason|opponent-third-downs-per-game_lastseason|opponent-first-downs-per-game_currseason|opponent-first-downs-per-game_lastseason|third-down-conversion-percentage_currseason|third-down-conversion-percentage_lastseason|opponent-third-down-conversion-percentage_currseason|opponent-third-down-conversion-percentage_lastseason|pass-attempts-per-game_currseason|pass-attempts-per-game_lastseason|opponent-pass-attempts-per-game_currseason|opponent-pass-attempts-per-game_lastseason|rushing-attempts-per-game_currseason|rushing-attempts-per-game_lastseason|opponent-rushing-attempts-per-game_currseason|opponent-rushing-attempts-per-game_lastseason
0|0.0|1.0|0.0|1.0|0.6148556840368982|0.41896173780343887|0.5943396226415094|0.6216708680235858|0.45272808437271383|0.5040816326530612|0.8999999999999999|0.5714285714285714|0.8571428571428571|0.2857142857142857|0.45833333333333326|0.3224489795918367|0.37349397590361433|0.6085209003215434|0.6184573002754823|0.4966237942122186|0.1718475073313781|0.7258064516129032|0.5547445255474452|0.6136363636363636|0.23404255319148914|0.5954545454545455|0.39534883720930214|0.5499999999999999|0.4883720930232558|0.5954545454545455|0.39534883720930214|0.5387096774193548|0.2727272727272727|0.6844444444444444|0.5985153108567896|0.5022900763358779|0.36447773504560366|0.6838709677419355|0.44292237442922366|0.5403225806451613|0.44055944055944085|0.4816326530612245|0.48587570621468923|0.48775510204081624|0.1883116883116882
1|0.0|0.0|1.0|0.0|0.6422289749439845|0.0|0.42452830188679247|0.4864945498107396|0.5429456445246149|0.5469387755102041|0.6333333333333333|0.5142857142857142|0.4642857142857143|0.39999999999999997|0.7083333333333333|0.4183673469387755|0.7771084337349398|0.622508038585209|0.45179063360881555|0.5414790996784566|0.6052785923753665|0.6419354838709677|0.2992700729927007|0.6090909090909091|0.36170212765957466|0.6272727272727273|0.4883720930232558|0.44166666666666665|0.30232558139534893|0.6272727272727273|0.4883720930232558|0.6064516129032258|0.6136363636363635|0.553731343283582|0.32959905660377364|0.4666666666666666|0.7220109529432546|0.5661290322580645|0.47945205479452024|0.5741935483870968|0.23076923076923084|0.5387755102040815|0.192090395480226|0.5142857142857142|0.7077922077922076
2|0.0|1.0|0.0|0.0|0.7123734966604349|0.2568852134103166|0.5283018867924528|0.17762910311742486|0.3232704639958336|0.48775510204081624|0.5041666666666667|0.45714285714285713|0.6071428571428571|0.3571428571428571|0.29166666666666674|0.3489795918367347|0.12650602409638545|0.5467845659163988|0.5183654729109275|0.49356913183279744|0.13900293255131957|0.6|0.4963503649635035|0.6136363636363636|0.34042553191489366|0.6318181818181818|0.6046511627906974|0.5|0.4186046511627908|0.6318181818181818|0.6046511627906974|0.5548387096774193|0.2500000000000002|0.6222222222222221|0.46634972515228057|0.5338129496402877|0.3551085476821667|0.4838709677419355|0.4200913242009132|0.5790322580645161|0.4545454545454546|0.6102040816326529|0.384180790960452|0.49183673469387756|0.40909090909090917
3|0.0|0.0|0.0|1.0|0.6422289749439845|0.0|0.6698113207547169|0.46675552136267306|0.31433429006921565|0.5408163265306122|0.6041666666666665|0.48571428571428565|0.5714285714285713|0.5285714285714286|0.12499999999999989|0.5448979591836735|0.39156626506024106|0.6056270096463022|0.4995408631772269|0.6059485530546623|0.32434017595307907|0.7225806451612903|0.562043795620438|0.5818181818181819|0.23404255319148914|0.5545454545454546|0.3720930232558137|0.475|0.6046511627906976|0.5545454545454546|0.3720930232558137|0.7032258064516129|0.38636363636363646|0.6234375|0.7315187132694094|0.5508196721311475|0.4953308972797401|0.6693548387096774|0.6438356164383561|0.5516129032258065|0.47552447552447585|0.5040816326530612|0.15819209039548032|0.5530612244897959|0.29220779220779214
4|0.0|1.0|0.0|1.0|0.8902836051610189|0.41896173780343887|0.4716981132075472|0.2205140316912253|0.39332925657636875|0.45306122448979586|0.46666666666666673|0.38571428571428573|0.2142857142857142|0.5142857142857142|0.5|0.5346938775510204|0.5722891566265061|0.4856913183279743|0.42699724517906334|0.5977491961414791|0.4850439882697948|0.5096774193548387|0.2992700729927007|0.5818181818181819|0.4893617021276597|0.5363636363636364|0.4883720930232558|0.3666666666666667|0.5581395348837208|0.5363636363636364|0.4883720930232558|0.635483870967742|0.4318181818181819|0.48124999999999996|0.5449169248099126|0.5813559322033898|0.7968777603183606|0.4774193548387097|0.25114155251141557|0.5096774193548387|0.3146853146853146|0.5183673469387754|0.6327683615819208|0.5306122448979591|0.5389610389610389
5|0.0|1.0|0.0|1.0|0.6699961598924156|0.5384065599032098|0.6320754716981132|0.15596929932447923|0.21305468680397155|0.41020408163265304|0.32916666666666666|0.48571428571428565|0.4642857142857143|0.42857142857142855|0.6666666666666667|0.42448979591836733|0.5481927710843372|0.5315112540192927|0.22543617998163468|0.5628617363344052|0.7020527859237535|0.6580645161290322|0.3211678832116789|0.6363636363636364|0.6808510638297873|0.6363636363636364|0.6511627906976747|0.45|0.6046511627906976|0.6363636363636364|0.6511627906976747|0.6419354838709677|0.6363636363636365|0.54|0.5049478823063729|0.6|0.5071757665625163|0.5951612903225806|0.26940639269406375|0.5112903225806451|0.3846153846153846|0.5469387755102041|0.6214689265536724|0.6448979591836734|0.7337662337662338
6|0.0|1.0|0.0|1.0|0.7123734966604349|0.0|0.5660377358490566|0.3046233408365011|0.34101925698349345|0.3612244897959183|0.21666666666666673|0.3285714285714285|0.2142857142857142|0.3571428571428571|0.5416666666666665|0.4265306122448979|0.7349397590361445|0.490192926045016|0.07116620752984382|0.5364951768488746|0.6956011730205278|0.529032258064516|0.05109489051094873|0.6|0.27659574468085113|0.6409090909090909|0.6744186046511627|0.41666666666666663|0.0|0.6409090909090909|0.6744186046511627|0.6064516129032258|0.511363636363636|0.5303030303030303|0.026171637248934898|0.5460992907801419|0.4580919916928816|0.5225806451612903|0.15068493150684925|0.5838709677419355|0.30769230769230793|0.5122448979591837|0.36723163841807915|0.5387755102040815|0.8376623376623378
7|0.0|1.0|0.0|1.0|0.8749591966070958|0.45500632850502115|0.5283018867924528|0.4469040170868843|0.4359254038110093|0.46122448979591835|0.22916666666666657|0.39999999999999997|0.1428571428571429|0.42857142857142855|0.45833333333333326|0.40612244897959177|0.644578313253012|0.544855305466238|0.18640955004591375|0.534887459807074|0.5630498533724342|0.6129032258064516|0.27007299270072993|0.6863636363636364|0.7446808510638294|0.6045454545454546|0.558139534883721|0.5083333333333333|0.4651162790697674|0.6045454545454546|0.558139534883721|0.6322580645161291|0.5454545454545452|0.5655629139072847|0.3445334711811838|0.6105263157894736|0.5644554329448976|0.6387096774193548|0.5616438356164384|0.5258064516129032|0.18881118881118875|0.5142857142857142|0.31638418079096065|0.5673469387755101|0.8311688311688312
8|0.0|1.0|0.0|1.0|0.7266903954551281|0.4862295731793668|0.4716981132075472|0.34588925175733864|0.4443430529937561|0.5224489795918367|0.49166666666666664|0.5142857142857142|0.6071428571428571|0.38571428571428573|0.625|0.3755102040816326|0.5481927710843372|0.5345659163987139|0.37649219467401296|0.5056270096463023|0.4041055718475073|0.6935483870967741|0.4744525547445253|0.6681818181818182|0.5106382978723403|0.6090909090909091|0.7209302325581395|0.5666666666666667|0.5813953488372092|0.6090909090909091|0.7209302325581395|0.5709677419354838|0.46590909090909105|0.6476190476190476|0.5589098532494758|0.4597014925373134|0.6054629797600226|0.5741935483870968|0.5159817351598173|0.5903225806451613|0.40559440559440585|0.6142857142857142|0.46327683615819204|0.48775510204081624|0.5779220779220777
9|0.0|0.0|0.0|1.0|0.6422289749439845|0.0|0.6320754716981132|0.19914304466797184|0.23190425179827034|0.24897959183673465|0.36666666666666664|0.3|0.25|0.6142857142857142|0.45833333333333326|0.5530612244897959|0.5301204819277109|0.41543408360128614|0.3337924701561068|0.6006430868167203|0.5219941348973609|0.4483870967741935|0.2992700729927007|0.6454545454545454|0.5744680851063833|0.6636363636363637|0.7441860465116275|0.3583333333333333|0.44186046511627897|0.6636363636363637|0.7441860465116275|0.7|0.4431818181818181|0.4239436619718309|0.3880229696472517|0.5178082191780822|0.38405585767957295|0.48709677419354835|0.2191780821917808|0.5370967741935483|0.6783216783216783|0.5469387755102041|0.7231638418079094|0.6714285714285714|0.3246753246753247
