|team|fga
327|Minnesota|3
328|San Francisco|2
329|New England|3
330|Denver|1
331|Atlanta|0
332|Detroit|1
333|Green Bay|1
334|NY Giants|3
335|Cincinnati|3
336|Atlanta|1
337|Pittsburgh|2
338|Detroit|3
339|Washington|2
340|Oakland|1
341|Baltimore|5
342|New England|2
343|Tampa Bay|5
344|Chicago|3
345|NY Jets|1
346|Miami|3
347|Tennessee|0
348|NY Jets|2
349|Cleveland|4
350|Tampa Bay|1
351|Carolina|4
352|Detroit|3
353|Arizona|0
354|Dallas|2
355|Minnesota|2
356|Oakland|0
357|New Orleans|2
358|Jacksonville|4
359|LA Rams|1
360|Baltimore|3
361|NY Giants|2
362|Houston|2
363|Tennessee|2
364|Carolina|1
365|Buffalo|4
366|Denver|1
367|San Francisco|2
368|Pittsburgh|4
369|Seattle|2
370|Philadelphia|2
371|Kansas City|3
372|Dallas|3
373|Indianapolis|0
374|Kansas City|1
375|Houston|3
376|Buffalo|1
377|Washington|1
378|New Orleans|3
379|Oakland|1
380|Tennessee|1
381|New England|3
382|Arizona|2
383|LA Chargers|1
384|Pittsburgh|2
385|Philadelphia|1
386|LA Chargers|2
387|Cincinnati|1
388|Philadelphia|1
389|Dallas|3
390|Indianapolis|1
391|Tampa Bay|1
392|Atlanta|4
393|Kansas City|1
394|Cleveland|5
395|Miami|3
396|Carolina|2
397|Seattle|5
398|San Francisco|4
399|Chicago|4
400|NY Jets|1
401|Green Bay|1
402|Denver|1
403|Green Bay|1
404|Miami|0
405|Baltimore|1
406|Detroit|0
407|Cleveland|1
408|Washington|3
409|Minnesota|0
410|San Francisco|6
411|LA Rams|0
412|Atlanta|3
413|Chicago|1
414|NY Giants|1
415|New England|2
416|Detroit|1
417|Dallas|2
418|Baltimore|3
419|LA Rams|3
420|Tennessee|4
421|NY Jets|0
422|Cincinnati|3
423|Atlanta|1
424|Indianapolis|2
425|Jacksonville|3
426|Oakland|6
427|Seattle|2
428|LA Chargers|4
429|Philadelphia|2
430|Kansas City|3
431|New Orleans|0
432|Seattle|1
433|Tampa Bay|4
434|New England|1
435|Buffalo|1
436|Pittsburgh|1
437|Houston|2
438|Washington|4
439|Chicago|2
440|Miami|2
441|Minnesota|3
442|Cleveland|1
443|NY Giants|2
444|Arizona|2
445|San Francisco|4
446|New Orleans|1
447|Jacksonville|0
448|Pittsburgh|0
449|Cincinnati|4
450|Baltimore|1
451|NY Jets|0
452|Washington|2
453|Miami|2
454|Jacksonville|0
455|Detroit|2
456|Tennessee|1
457|Carolina|1
458|Arizona|0
459|Denver|3
460|LA Chargers|1
461|Green Bay|4
462|Dallas|3
463|Seattle|4
464|Atlanta|2
465|Tampa Bay|0
466|LA Rams|3
467|Buffalo|2
468|NY Giants|2
469|Indianapolis|2
470|Kansas City|4
471|Chicago|0
472|Houston|3
473|Minnesota|2
474|Oakland|3
475|Arizona|2
476|Denver|1
477|Philadelphia|1
478|LA Chargers|3
479|San Francisco|2
480|Indianapolis|5
481|Pittsburgh|2
482|New England|3
483|Buffalo|6
484|Tennessee|3
485|Cincinnati|5
486|Kansas City|4
487|NY Jets|1
488|Baltimore|2
489|Carolina|2
490|Washington|4
491|Detroit|1
492|Dallas|0
493|Seattle|1
494|Green Bay|0
495|New Orleans|1
496|LA Rams|2
497|Houston|3
498|Green Bay|2
499|Miami|4
500|Philadelphia|2
501|New England|2
502|Jacksonville|4
503|New Orleans|1
504|Minnesota|3
505|Arizona|3
506|Oakland|4
507|Cincinnati|4
508|Cleveland|3
509|Denver|1
510|Atlanta|1
511|NY Giants|2
512|Dallas|1
513|Indianapolis|1
514|Buffalo|0
515|Washington|4
516|New England|2
517|LA Rams|3
518|Philadelphia|2
519|Miami|1
520|Atlanta|4
521|Jacksonville|3
522|Seattle|4
523|San Francisco|3
524|Carolina|1
525|Pittsburgh|2
526|Cincinnati|2
527|LA Chargers|5
528|Chicago|1
529|Kansas City|1
530|Arizona|2
531|Oakland|2
532|Cleveland|2
533|Minnesota|2
534|Baltimore|3
535|Houston|2
536|Tampa Bay|2
537|New Orleans|2
538|Washington|1
539|Dallas|0
540|Tennessee|1
541|NY Jets|1
542|Detroit|5
543|Denver|0
544|NY Giants|5
545|Buffalo|1
546|Kansas City|6
547|Detroit|4
548|NY Jets|3
549|Cincinnati|1
550|Jacksonville|3
551|LA Rams|2
552|Tampa Bay|1
553|San Francisco|3
554|Atlanta|0
555|Philadelphia|2
556|Houston|1
557|Pittsburgh|1
558|New England|3
559|Green Bay|2
560|Cleveland|3
561|Seattle|2
562|New England|3
563|San Francisco|4
564|Minnesota|3
565|Tennessee|0
566|Carolina|0
567|LA Chargers|3
568|Oakland|2
569|Cincinnati|2
570|Miami|3
571|New Orleans|3
572|Washington|4
573|NY Giants|2
574|Chicago|2
575|Arizona|2
576|Cleveland|2
577|Baltimore|3
578|Philadelphia|0
579|Green Bay|2
580|Miami|2
581|Atlanta|1
582|Seattle|3
583|Chicago|2
584|Tennessee|0
585|Buffalo|1
586|Denver|0
587|LA Chargers|2
588|Houston|3
589|Pittsburgh|4
590|LA Rams|5
591|Kansas City|1
592|Oakland|2
593|Dallas|4
594|Indianapolis|3
595|Cincinnati|1
596|Detroit|4
597|New England|3
598|Buffalo|1
599|NY Giants|5
600|Minnesota|4
601|Green Bay|0
602|Denver|0
603|Seattle|3
604|Green Bay|4
605|New Orleans|0
606|Baltimore|2
607|Cleveland|0
608|Tennessee|0
609|Dallas|4
610|Washington|3
611|Arizona|1
612|Jacksonville|3
613|NY Jets|4
614|Pittsburgh|3
615|Detroit|0
616|Tampa Bay|3
617|Washington|2
618|Atlanta|3
619|Seattle|2
620|Carolina|5
621|Jacksonville|3
622|Indianapolis|3
623|Miami|3
624|New England|1
625|LA Chargers|2
626|Oakland|4
627|NY Giants|5
628|New Orleans|0
629|San Francisco|1
630|Kansas City|3
631|Miami|2
632|Denver|1
633|Buffalo|4
634|Arizona|1
635|Baltimore|1
636|Chicago|3
637|Detroit|2
638|Carolina|1
639|Tampa Bay|2
640|Minnesota|2
641|Pittsburgh|1
642|Dallas|3
643|Philadelphia|2
644|Indianapolis|2
645|Atlanta|2
646|Buffalo|1
647|Denver|3
648|Oakland|2
649|Tennessee|3
650|LA Chargers|1
651|NY Giants|2
652|Detroit|1
653|NY Jets|0
654|Dallas|1
655|LA Rams|2
656|Houston|2
657|Kansas City|3
658|Miami|1
659|NY Jets|4
660|Green Bay|3
661|Cincinnati|1
662|Jacksonville|3
663|Arizona|4
664|Philadelphia|2
665|Cleveland|2
666|Tampa Bay|2
667|New Orleans|1
668|Indianapolis|2
669|LA Chargers|0
670|Baltimore|3
671|Chicago|0
672|Houston|3
673|Washington|1
674|New England|1
675|Minnesota|2
676|Pittsburgh|0
677|Oakland|1
678|Atlanta|3
679|Tennessee|5
680|Seattle|0
681|Denver|3
682|Buffalo|2
683|Baltimore|3
684|LA Rams|2
685|San Francisco|3
686|Green Bay|2
687|Carolina|1
688|New Orleans|2
689|San Francisco|3
690|Jacksonville|1
691|Minnesota|1
692|Houston|1
693|New England|4
694|Seattle|1
695|Carolina|0
696|Indianapolis|0
697|Arizona|2
698|Tampa Bay|3
699|Pittsburgh|3
700|Cleveland|3
701|Cincinnati|2
702|Philadelphia|2
703|NY Giants|4
704|Denver|4
705|LA Rams|0
706|NY Jets|1
707|Tennessee|4
708|LA Chargers|2
709|Kansas City|1
710|Philadelphia|3
711|Dallas|2
712|Baltimore|0
713|Atlanta|0
714|Chicago|0
715|Miami|2
716|Arizona|0
717|New Orleans|2
718|Detroit|3
719|Houston|0
720|Cincinnati|2
721|Minnesota|5
722|Denver|3
723|Indianapolis|1
724|Tampa Bay|0
725|Washington|1
726|NY Giants|1
727|Green Bay|2
728|Jacksonville|1
729|Detroit|1
730|Carolina|1
731|Seattle|3
732|Kansas City|0
733|Pittsburgh|1
734|San Francisco|3
735|NY Jets|1
736|Atlanta|1
737|New England|3
738|New Orleans|3
739|Cincinnati|3
740|Tennessee|0
741|Buffalo|1
742|Minnesota|3
743|Indianapolis|2
744|LA Rams|0
745|Washington|2
746|LA Chargers|2
747|Oakland|2
748|Cleveland|2
749|Chicago|1
750|NY Giants|0
751|San Francisco|3
752|Tampa Bay|3
753|NY Jets|4
754|Jacksonville|0
755|Houston|4
756|Cleveland|2
757|Carolina|4
758|Chicago|5
759|Baltimore|2
760|Philadelphia|1
761|Oakland|0
762|Green Bay|2
763|Miami|1
764|Arizona|2
765|Kansas City|2
766|LA Rams|3
767|Dallas|1
768|NY Giants|1
769|Chicago|2
770|NY Jets|2
771|New Orleans|1
772|Tennessee|2
773|Detroit|2
774|Cleveland|3
775|Houston|4
776|Kansas City|2
777|Minnesota|4
778|Arizona|2
779|Green Bay|0
780|Tampa Bay|3
781|Denver|1
782|Baltimore|3
783|Oakland|2
784|Green Bay|3
785|Buffalo|0
786|New England|5
787|Miami|0
788|Cincinnati|2
789|Indianapolis|3
790|Philadelphia|1
791|Jacksonville|0
792|NY Giants|4
793|Carolina|0
794|LA Rams|3
795|Seattle|2
796|LA Chargers|1
797|Pittsburgh|2
798|San Francisco|2
799|Atlanta|2
800|Carolina|0
801|Cleveland|0
802|New Orleans|2
803|Tennessee|5
804|Miami|4
805|Washington|1
806|Indianapolis|2
807|Chicago|3
808|Dallas|3
809|Minnesota|1
810|LA Chargers|1
811|Arizona|2
812|Denver|3
813|Oakland|2
814|Baltimore|1
815|Seattle|0
816|Baltimore|2
817|LA Rams|4
818|Buffalo|0
819|NY Jets|0
820|Detroit|2
821|Houston|1
822|Atlanta|3
823|Kansas City|0
824|Denver|3
825|Jacksonville|1
826|Arizona|1
827|Green Bay|0
828|Tampa Bay|3
829|Philadelphia|4
830|Dallas|1
831|LA Rams|1
832|NY Giants|2
833|Kansas City|2
834|Pittsburgh|3
835|Indianapolis|4
836|Cincinnati|3
837|Washington|2
838|Carolina|1
839|Jacksonville|1
840|Minnesota|3
841|San Francisco|1
842|New England|1
843|New Orleans|1
844|NY Jets|1
845|Tennessee|4
846|Miami|1
847|Tampa Bay|2
848|Atlanta|4
849|Baltimore|1
850|NY Jets|0
851|Cleveland|2
852|Philadelphia|3
853|Seattle|1
854|Arizona|4
855|San Francisco|3
856|Washington|1
857|Houston|1
858|LA Chargers|1
859|San Francisco|2
