|0
0|1.4046937517108966
1|2.0040559918854477
2|2.191103351006811
3|1.435925233461032
4|1.6309939504149031
5|1.93904805613427
6|1.817836438148403
7|2.096390199401391
8|1.8899215478716689
9|1.4699367949243678
10|1.5144966208979986
11|1.7387451100535078
12|1.9325261111575822
13|1.2082846950601596
14|1.6596774603294173
15|1.4680808291012912
16|1.4009656756878537
17|2.234778971406243
18|1.9044927422273623
19|1.4774572816204947
20|1.6387783237822555
21|1.9134331307318424
22|1.4386887699626794
23|2.475284430904156
24|1.555861000013852
25|1.3343131613674617
26|1.569228592453317
27|1.8875975304322319
28|2.07835083166352
29|1.7414367936990598
30|2.475454773630786
31|1.9394619514624694
