|0
0|1.9733649819107233
1|1.8761596539038365
2|2.0245359864877335
3|1.7935031674668211
4|2.1164643503157308
5|2.1374569108795036
6|1.7900547565643707
7|1.9196607033165043
8|2.0847326466210236
9|1.9801722812782476
10|1.8998551795479737
11|1.996740280062783
12|1.943396556386815
13|1.828789469049488
14|1.790421847067987
15|2.1017019552381466
16|1.9944248906937208
17|2.0904122774579648
18|1.9482545534172997
19|2.1087495660724196
20|1.9966033088165596
21|1.7856373067854165
22|1.9625751320762241
23|2.139716849497371
24|2.051859675611788
25|1.8727968721975397
26|2.0198942241923543
27|1.9769868079682313
28|2.0094428725534144
29|1.990760154298674
30|2.2459052364094836
31|1.8586224836743108
